English,Japanese,Kanji
blackboard,こくばん,黒板
light,でんき,電気
curtain,カーテン,
book,ほん,本
door,ドア,
desk,つくえ,机
eraser,けしゴム,消しゴム
pencil,えんぴつ,鉛筆
dictionary,じしょ,辞書
window,まど,窓
chair,いす,椅子
,,
Do you understand?,わかりましたか。,分かりましたか
I understand. / I understood.,わかりました。,分かりました
I don't understand. / I don't know,わかりません。,分かりません
Please say it slowly.,ゆっくりいってください。,ゆっくり言ってください
Please say it again.,もういちどいってください。,もう一度言ってください
Please wait for a while.,ちょっとまってください。,ちょっと待ってください
Please listen. / Please ask.,きいてください。,聞いてください
Please look at page 10.,じゅうページをみてください。,十ページを見てください
