English,Japanese,Kanji
black,くろい,黒い
red,あかい,赤い
yellow,きいろい,黄色い
white,しろい,白い
blue,あおい,青い
brown,ちゃいろい,茶色い
,,
green,みどり,緑
green (katakana),グリーン,
navy blue,こんいろ,紺色
light blue,みずいろ,水色
silver,ぎんいろ,銀色
silver (katakana),シルバー,
orange,オレンジ,
purple,むらさき,紫
gray,はいいろ,灰色
gray (katakana),グレー,
gold,きんいろ,金色
gold (katakana),ゴールド,
pink,ピンク,
beige,ベージュ,
