English,Japanese,Kanji
foreign country,がいこく,外国
river,かわ,川
spa; hotspring,おんせん,温泉
fishing,つり,釣り
lake,みずうみ,湖
mountain,やま,山
camp,キャンプ,
drive,ドライブ,
shrine,じんじゃ,神社
art museum,びじゅつかん,美術館
president of a company,しゃちょう,社長
singer,かしゅ,歌手
roommate,ルームメイト,
host family,ホストファミリー,
future,しょうらい,将来
dream,ゆめ,夢
festival,おまつり,お祭り
New Year's,おしょうがつ,お正月
snack; sweets,おかし,お菓子
beer,ビール,
toy,おもちゃ,玩具
this semester,こんがっき,今学期
next semester,らいがっき,来学期
class,じゅぎょう,授業
this person (polite),こちら,
,,
to tell a lie,うそをつく,嘘をつく
to become hungry,おなかがすく,
to own (a pet) (～を),かう,飼う
to cut (classes) (～を),サボる,
to take (a class); to get (a grade) (～を),とる,取る
to learn (～を),ならう,習う
to climb (place に),のぼる,登る
to run,はしる,走る
,,
to get tired,つかれる,疲れる
to quit (～を),やめる,
,,
to have a fight; to quarrel,けんかする,喧嘩する
to introduce (person に person を),しょうかいする,紹介する
to go on a diet,ダイエットする,
to be late (for an appointment) (～に),ちこくする,遅刻する
to study abroad (place に),りゅうがくする,留学する
,,
coming from (place の),しゅっしん,出身
it has been a long time,ひさしぶり,久しぶり
okay; so-so,まあまあ,
more,もっと,
after (an event) (event の),あと,後
and then,そして,
just...; only...,～だけ,
...points,～てん,～点
,,
occupations,しょくぎょう,職業
writer,さっか,作家
journalist,ジャーナリスト,
police officer,けいさつかん,警察官
firefighter,しょうぼうし,消防士
schoolteacher,きょうし,教師
researcher,けんきゅうしゃ,研究者
astronaut,うちゅうひこうし,宇宙飛行士
athlete,スポーツせんしゅ,スポーツ選手
president of a country,だいとうりょう,大統領
actor; actress,はいゆう,俳優
nurse,かんごし,看護師
chef,シェフ,
cartoonist,まんがか,漫画家
