English,Japanese,Kanji
stomach,おなか,
leg; foot,あし,足
throat,のど,
tooth,は,歯
influenza (virus),インフルエンザ,
cold,かぜ,風邪
cough,せき,咳
hangover,ふつかよい,二日酔い
homesickness,ホームシック,
allergy,アレルギー,
juice,ジュース,
egg,たまご,卵
clothes,ふく,服
thing (concrete object),もの,物
present,プレゼント,
train ticket,きっぷ,切符
change; fee,～だい,～代
business to take care of,ようじ,用事
restroom,おてあらい,お手洗い
match; game,しあい,試合
politics,せいじ,政治
"grade (on a test. etc.)",せいせき,成績
she; girlfriend,かのじょ,彼女
he; boyfriend,かれ,彼
boyfriend,かれし,彼氏
meaning,いみ,意味
,,
narrow; not spacious,せまい,狭い
wide; spacious,ひろい,広い
bad,わるい,悪い
hurt; painful,いたい,痛い
sweet,あまい,甘い
there are many...,おおい,多い
,,
nice,すてき（な）,素敵
,,
to walk,あるく,歩く
to catch a cold,かぜをひく,風邪をひく
to have a fever,ねつがある,熱がある
to become thristy,のどはかかわく,のどが渇く
to pay (～を),はらう,払う
to lose (～を),なくす,無くす
to be interested (in...) (topic に),きょうみがある,興味がある
,,
to cough,せきがでる,咳が出る
to break up; to separate (person と),わかれる,別れる
,,
to get nervous,きんちょうする,緊張する
to worry,しんぱいする,心配する
,,
Get well soon,おだいじに,お大事に
don't look well,げんきがない,元気がない
as much as possible,できるだけ,出来るだけ
probably; maybe,たぶん,多分
very soon; in a few moments/days,もうすぐ,
for the first time,はじめて,初めて
for two to three days,にさんにち,二三日
moreover...,それに,
same,おなじ,同じ
