English,Japanese,Kanji
hair,かみ,髪
eyebrows,まゆげ,眉毛
ear,みみ,耳
mouth,くち,口
eye,め,目
nose,はな,鼻
tooth,は,歯
neck,くび,首
finger,ゆび,指
hand,て,手
,,
head,あたま,頭
back,せなか,背中
butt,おしり,
face,かお,顔
shoulder,かた,肩
chest,むね,胸
belly,おなか,
foot;leg,あし,足
