English,Japanese,Kanji
word; vocabulary,たんご,単語
essay; composition,さくぶん,作文
exam,しけん,試験
letter,てがみ,手紙
e-mail,メール,
guitar,ギター,
piano,ピアノ,
concert,コンサート,
ticket,チケット,
Kabuki; traditional Japanese theatrical art,かぶき,歌舞伎
ski,スキー,
boxed lunch,おべんとう,お弁当
pizza,ピザ,
illness; sickness,びょうき,病気
medicine,くすり,薬
good child,いいこ,いい子
color,いろ,色
near future,こんど,今度
last month,せんげつ,先月
last year,きょねん,去年
,,
blue,あおい,青い
red,あかい,赤い
black,くろい,黒い
white,しろい,白い
lonely,さびしい,寂しい
young,わかい,若い
,,
mean-spirited,いじわる（な）,意地悪
,,
to dance,おどる,踊る
(something) ends (～が),おわる,終わる
to take medicine,くすりをのむ,薬を飲む
to be popular,にんきがある,人気がある
(something) begins (～が),はじまる,始まる
to play (a string instrument or piano) (～を),ひく,弾く
to get (from somebody) (person に thing を),もらう,
,,
to memorize (～を),おぼえる,覚える
to appear; to attend (～に）／ to exit (～を),でる,出る
,,
to exercise,うんどうする,運動する
to take a walk,さんぽする,散歩する
,,
(I think) so,そう,
from...,～から,
to (a place/a time),～まで,
by all means,ぜひ,是非
by the way,ところで,
all,みんな,
already,もう,
,,
one,ひとつ,一つ
two,ふたつ,二つ
three,みっつ,三つ
four,よっつ,四つ
five,いつつ,五つ
six,むっつ,六つ
seven,ななつ,七つ
eight,やっつ,八つ
nine,ここのつ,九つ
ten,とお,十
