English,Japanese,Kanji
food,たべもの,食べ物
drink,のみもの,飲み物
fruit,くだもの,果物
holiday; day off; absence,やすみ,休み
travel,りょこう,旅行
sea,うみ,海
surfing,サーフィン,
souvenir,おみやげ,お土産
bus,バス,
weather,てんき,天気
homework,しゅくだい,宿題
test,テスト,
birthday,たんじょうび,誕生日
room,へや,部屋
I (used by men),ぼく,僕
size L,L（エル）サイズ,
,,
new,あたらしい,新しい
old (thing - not used for people),ふるい,古い
hot (weather - not used for things),あつい,暑い
cold (weather - not used for things),さむい,寒い
hot (thing),あつい,熱い
busy (people/days),いそがしい,忙しい
large,おおきい,大きい
small,ちいさい,小さい
interesting; funny,おもしろい,面白い
boring,つまらない,
easy (problem); kind (person),やさしい,
difficult,むずかしい,難しい
good-looking (conjugates like いい),かっこいい,
frightening,こわい,怖い
fun,たのしい,楽しい
inexpensive; cheap (thing),やすい,安い
,,
fond of; to like (~が),すき（な）,好き
disgusted with; to dislike (~が),きらい（な）,嫌い
very fond of; to love (~が),だいすき（な）,大好き
to hate (~が),だいきらい（な）,大嫌い
beautiful; clean,きれい（な）,
healthy; energetic,げんき（な）,元気
quiet,しずか（な）,静か
lively,にぎやか（な）,
not busy; free (time),ひま（な）,暇
,,
to swim,およぐ,泳ぐ
to ask (person に),きく,聞く
to ride; to board (～に),のる,乗る
to do; to perform (～を),やる,
,,
to go out,でかける,出かける
,,
together,いっしょに,一緒に
extremely,すごい,
It's okay; Not to worry; Everything is under control,だいじょうぶ,大丈夫
very,とても,
what kind of ...,どんな,
[counter for flat objects],～まい,～枚
